#Var-#NoneZ: 190 - 655
0.5410017808004594 [(0.0, 0.0), (200.0, 1.0)]
TimeRunning 4.227649688720703
0 	 7 	 8.0 	 1 	 8 	 49 	 0.0
1 	 8 	 8.0 	 0 	 8 	 70 	 0.0
2 	 8 	 8.0 	 0 	 8 	 1 	 0.006097560975609756
3 	 7 	 9.0 	 3 	 8 	 1 	 0.006097560975609756
4 	 6 	 9.0 	 3 	 9 	 1 	 0.006097560975609756
5 	 8 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
6 	 9 	 9.0 	 0 	 9 	 1 	 0.006097560975609756
7 	 9 	 9.0 	 1 	 9 	 3 	 0.0
8 	 9 	 9.0 	 1 	 9 	 1 	 0.0
9 	 8 	 9.0 	 2 	 9 	 1 	 0.0
10 	 8 	 9.0 	 1 	 9 	 2 	 0.0
11 	 8 	 9.0 	 2 	 9 	 1 	 0.0
12 	 9 	 9.0 	 1 	 9 	 1 	 0.0
13 	 9 	 9.0 	 0 	 9 	 2 	 0.0
14 	 8 	 9.0 	 2 	 9 	 1 	 0.0
15 	 8 	 9.0 	 2 	 9 	 2 	 0.0
16 	 8 	 9.0 	 2 	 9 	 1 	 0.0
17 	 9 	 9.0 	 1 	 9 	 1 	 0.0
18 	 9 	 9.0 	 1 	 9 	 1 	 0.0
19 	 8 	 9.0 	 2 	 8 	 1 	 0.0
20 	 8 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
21 	 9 	 9.0 	 1 	 9 	 1 	 0.0
22 	 7 	 9.0 	 3 	 8 	 1 	 0.0
23 	 8 	 9.0 	 2 	 9 	 1 	 0.0
24 	 7 	 9.0 	 3 	 8 	 1 	 0.0
25 	 7 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
26 	 8 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
27 	 7 	 9.0 	 3 	 8 	 1 	 0.006097560975609756
28 	 8 	 9.0 	 2 	 8 	 4 	 0.0
29 	 8 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
30 	 8 	 9.0 	 2 	 8 	 2 	 0.006097560975609756
31 	 9 	 9.0 	 0 	 9 	 5 	 0.006097560975609756
32 	 9 	 9.0 	 1 	 9 	 1 	 0.006097560975609756
33 	 9 	 9.0 	 1 	 9 	 1 	 0.006097560975609756
34 	 8 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
35 	 7 	 9.0 	 3 	 8 	 1 	 0.006097560975609756
36 	 7 	 9.0 	 2 	 8 	 5 	 0.006097560975609756
37 	 7 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
38 	 9 	 9.0 	 1 	 9 	 1 	 0.006097560975609756
39 	 7 	 9.0 	 2 	 9 	 2 	 0.006097560975609756
40 	 8 	 9.0 	 1 	 9 	 1 	 0.006097560975609756
41 	 7 	 9.0 	 2 	 8 	 1 	 0.006097560975609756
42 	 8 	 9.0 	 2 	 8 	 1 	 0.006097560975609756
43 	 8 	 9.0 	 1 	 9 	 4 	 0.006097560975609756
44 	 8 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
45 	 8 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
46 	 8 	 9.0 	 1 	 9 	 2 	 0.006097560975609756
47 	 7 	 9.0 	 3 	 8 	 1 	 0.006097560975609756
48 	 9 	 9.0 	 1 	 9 	 1 	 0.006097560975609756
49 	 8 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
50 	 9 	 9.0 	 1 	 9 	 1 	 0.006097560975609756
51 	 8 	 9.0 	 1 	 8 	 2 	 0.006097560975609756
52 	 9 	 9.0 	 1 	 9 	 1 	 0.006097560975609756
53 	 7 	 9.0 	 2 	 9 	 6 	 0.0
54 	 7 	 9.0 	 3 	 8 	 1 	 0.0
55 	 8 	 9.0 	 1 	 9 	 8 	 0.0
56 	 8 	 9.0 	 2 	 9 	 1 	 0.0
57 	 8 	 9.0 	 1 	 8 	 2 	 0.0
58 	 7 	 9.0 	 3 	 8 	 1 	 0.0
59 	 9 	 9.0 	 0 	 9 	 1 	 0.0
60 	 9 	 9.0 	 0 	 9 	 1 	 0.006097560975609756
61 	 8 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
62 	 7 	 9.0 	 3 	 8 	 1 	 0.0
63 	 9 	 9.0 	 1 	 9 	 7 	 0.0
64 	 8 	 9.0 	 1 	 9 	 1 	 0.012195121951219513
65 	 8 	 9.0 	 1 	 9 	 1 	 0.006097560975609756
66 	 8 	 9.0 	 1 	 9 	 3 	 0.006097560975609756
67 	 7 	 9.0 	 2 	 8 	 2 	 0.006097560975609756
68 	 8 	 9.0 	 1 	 8 	 2 	 0.006097560975609756
69 	 9 	 9.0 	 0 	 9 	 1 	 0.012195121951219513
70 	 8 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
71 	 8 	 9.0 	 2 	 9 	 2 	 0.0
72 	 7 	 9.0 	 2 	 9 	 1 	 0.006097560975609756
73 	 8 	 9.0 	 2 	 9 	 1 	 0.0
74 	 9 	 9.0 	 1 	 9 	 1 	 0.0
75 	 7 	 9.0 	 3 	 8 	 4 	 0.0
76 	 8 	 9.0 	 1 	 9 	 2 	 0.0
77 	 9 	 9.0 	 1 	 9 	 2 	 0.0
78 	 7 	 9.0 	 3 	 8 	 2 	 0.0
79 	 8 	 9.0 	 2 	 8 	 2 	 0.0
80 	 8 	 9.0 	 1 	 9 	 1 	 0.0
81 	 9 	 9.0 	 0 	 9 	 3 	 0.0
82 	 6 	 9.0 	 3 	 9 	 6 	 0.0
83 	 8 	 9.0 	 2 	 9 	 4 	 0.0
84 	 7 	 9.0 	 2 	 9 	 11 	 0.0
85 	 7 	 9.0 	 3 	 8 	 1 	 0.0
86 	 7 	 9.0 	 3 	 8 	 1 	 0.0
87 	 8 	 9.0 	 2 	 9 	 3 	 0.0
88 	 7 	 9.0 	 3 	 8 	 2 	 0.0
89 	 10 	 10.0 	 1 	 10 	 1 	 0.018292682926829267
90 	 9 	 10.0 	 3 	 9 	 1 	 0.006097560975609756
91 	 8 	 10.0 	 4 	 9 	 2 	 0.012195121951219513
92 	 8 	 10.0 	 3 	 9 	 2 	 0.012195121951219513
93 	 9 	 10.0 	 2 	 9 	 6 	 0.012195121951219513
94 	 9 	 10.0 	 2 	 10 	 1 	 0.006097560975609756
95 	 8 	 10.0 	 3 	 10 	 1 	 0.006097560975609756
96 	 7 	 10.0 	 4 	 9 	 1 	 0.012195121951219513
97 	 9 	 10.0 	 3 	 10 	 1 	 0.0
98 	 8 	 10.0 	 3 	 9 	 1 	 0.012195121951219513
99 	 10 	 10.0 	 1 	 10 	 2 	 0.012195121951219513
100 	 7 	 10.0 	 4 	 9 	 1 	 0.006097560975609756
101 	 10 	 10.0 	 1 	 10 	 1 	 0.006097560975609756
102 	 7 	 10.0 	 4 	 9 	 1 	 0.006097560975609756
103 	 8 	 10.0 	 2 	 8 	 1 	 0.012195121951219513
104 	 9 	 10.0 	 2 	 10 	 1 	 0.006097560975609756
105 	 10 	 10.0 	 1 	 10 	 1 	 0.006097560975609756
106 	 7 	 10.0 	 3 	 8 	 1 	 0.012195121951219513
107 	 9 	 10.0 	 2 	 10 	 1 	 0.006097560975609756
108 	 8 	 10.0 	 2 	 8 	 1 	 0.012195121951219513
109 	 7 	 10.0 	 3 	 8 	 1 	 0.012195121951219513
110 	 7 	 10.0 	 4 	 9 	 1 	 0.006097560975609756
111 	 8 	 10.0 	 3 	 10 	 1 	 0.006097560975609756
112 	 7 	 10.0 	 4 	 9 	 1 	 0.006097560975609756
113 	 8 	 10.0 	 4 	 9 	 1 	 0.006097560975609756
114 	 9 	 10.0 	 3 	 10 	 1 	 0.006097560975609756
115 	 8 	 10.0 	 3 	 9 	 1 	 0.006097560975609756
116 	 9 	 10.0 	 3 	 9 	 1 	 0.006097560975609756
117 	 9 	 10.0 	 2 	 10 	 1 	 0.006097560975609756
118 	 8 	 10.0 	 3 	 9 	 1 	 0.006097560975609756
119 	 9 	 10.0 	 2 	 9 	 1 	 0.012195121951219513
120 	 9 	 10.0 	 2 	 10 	 2 	 0.006097560975609756
121 	 9 	 10.0 	 3 	 9 	 1 	 0.006097560975609756
122 	 7 	 10.0 	 4 	 10 	 2 	 0.0
123 	 10 	 10.0 	 1 	 10 	 1 	 0.0
124 	 8 	 10.0 	 3 	 10 	 1 	 0.0
125 	 10 	 10.0 	 1 	 10 	 1 	 0.0
126 	 7 	 10.0 	 3 	 10 	 1 	 0.0
127 	 9 	 10.0 	 2 	 9 	 1 	 0.012195121951219513
128 	 8 	 10.0 	 3 	 10 	 1 	 0.012195121951219513
129 	 10 	 10.0 	 2 	 10 	 1 	 0.012195121951219513
130 	 8 	 10.0 	 4 	 8 	 1 	 0.0
131 	 8 	 10.0 	 4 	 9 	 1 	 0.0
132 	 7 	 10.0 	 4 	 9 	 1 	 0.012195121951219513
133 	 9 	 10.0 	 3 	 10 	 1 	 0.006097560975609756
134 	 9 	 10.0 	 2 	 9 	 1 	 0.006097560975609756
135 	 8 	 10.0 	 3 	 8 	 1 	 0.006097560975609756
136 	 9 	 10.0 	 2 	 9 	 1 	 0.0
137 	 9 	 10.0 	 2 	 10 	 1 	 0.0
138 	 9 	 10.0 	 2 	 10 	 1 	 0.0
139 	 10 	 10.0 	 1 	 10 	 1 	 0.0
140 	 8 	 10.0 	 3 	 10 	 1 	 0.0
141 	 7 	 10.0 	 4 	 8 	 1 	 0.012195121951219513
142 	 9 	 10.0 	 1 	 10 	 1 	 0.0
143 	 9 	 10.0 	 2 	 10 	 1 	 0.0
144 	 8 	 10.0 	 3 	 10 	 1 	 0.0
145 	 6 	 10.0 	 5 	 9 	 1 	 0.0
146 	 9 	 10.0 	 3 	 9 	 1 	 0.0
147 	 9 	 10.0 	 2 	 9 	 1 	 0.0
148 	 9 	 10.0 	 1 	 10 	 1 	 0.006097560975609756
149 	 10 	 10.0 	 0 	 10 	 1 	 0.006097560975609756
150 	 8 	 10.0 	 3 	 9 	 1 	 0.006097560975609756
151 	 9 	 10.0 	 2 	 10 	 1 	 0.006097560975609756
152 	 9 	 10.0 	 2 	 9 	 1 	 0.0
153 	 9 	 10.0 	 2 	 9 	 1 	 0.0
154 	 10 	 10.0 	 2 	 10 	 1 	 0.0
155 	 7 	 10.0 	 4 	 10 	 1 	 0.0
156 	 8 	 10.0 	 4 	 8 	 1 	 0.0
157 	 7 	 10.0 	 3 	 8 	 1 	 0.012195121951219513
158 	 8 	 10.0 	 4 	 9 	 1 	 0.0
159 	 9 	 10.0 	 2 	 9 	 1 	 0.0
160 	 9 	 10.0 	 2 	 10 	 1 	 0.0
161 	 9 	 10.0 	 3 	 9 	 1 	 0.012195121951219513
162 	 7 	 10.0 	 4 	 9 	 1 	 0.0
163 	 8 	 10.0 	 3 	 9 	 1 	 0.012195121951219513
164 	 8 	 10.0 	 3 	 10 	 1 	 0.0
165 	 9 	 10.0 	 1 	 10 	 1 	 0.006097560975609756
166 	 9 	 10.0 	 2 	 10 	 2 	 0.012195121951219513
167 	 7 	 10.0 	 3 	 10 	 1 	 0.012195121951219513
168 	 10 	 10.0 	 2 	 10 	 1 	 0.012195121951219513
169 	 9 	 10.0 	 3 	 9 	 1 	 0.012195121951219513
170 	 9 	 10.0 	 3 	 10 	 1 	 0.006097560975609756
171 	 9 	 10.0 	 3 	 10 	 2 	 0.006097560975609756
172 	 9 	 10.0 	 3 	 10 	 1 	 0.012195121951219513
173 	 8 	 10.0 	 3 	 10 	 1 	 0.012195121951219513
174 	 9 	 10.0 	 4 	 10 	 3 	 0.006097560975609756
175 	 7 	 10.0 	 4 	 8 	 1 	 0.012195121951219513
176 	 8 	 10.0 	 4 	 9 	 4 	 0.006097560975609756
177 	 10 	 10.0 	 1 	 10 	 2 	 0.006097560975609756
178 	 10 	 10.0 	 3 	 10 	 4 	 0.006097560975609756
179 	 10 	 10.0 	 1 	 10 	 1 	 0.012195121951219513
180 	 10 	 10.0 	 2 	 10 	 6 	 0.006097560975609756
181 	 9 	 10.0 	 2 	 10 	 1 	 0.006097560975609756
182 	 8 	 10.0 	 3 	 10 	 2 	 0.006097560975609756
183 	 9 	 10.0 	 2 	 10 	 2 	 0.006097560975609756
184 	 8 	 10.0 	 4 	 9 	 1 	 0.012195121951219513
185 	 8 	 10.0 	 4 	 9 	 1 	 0.006097560975609756
186 	 9 	 10.0 	 3 	 10 	 8 	 0.006097560975609756
187 	 9 	 10.0 	 3 	 9 	 5 	 0.006097560975609756
188 	 9 	 10.0 	 2 	 9 	 6 	 0.006097560975609756
189 	 9 	 10.0 	 2 	 10 	 9 	 0.006097560975609756
190 	 10 	 10.0 	 2 	 10 	 13 	 0.006097560975609756
191 	 10 	 10.0 	 2 	 10 	 5 	 0.006097560975609756
192 	 7 	 10.0 	 4 	 9 	 13 	 0.006097560975609756
193 	 8 	 10.0 	 4 	 9 	 1 	 0.012195121951219513
194 	 10 	 10.0 	 3 	 10 	 4 	 0.006097560975609756
195 	 9 	 10.0 	 3 	 9 	 1 	 0.006097560975609756
196 	 8 	 10.0 	 2 	 8 	 2 	 0.006097560975609756
197 	 9 	 10.0 	 2 	 10 	 1 	 0.006097560975609756
198 	 10 	 10.0 	 2 	 10 	 1 	 0.012195121951219513
199 	 7 	 10.0 	 3 	 8 	 31 	 0.012195121951219513
200 	 9 	 10.0 	 3 	 10 	 1 	 0.012195121951219513
201 	 8 	 10.0 	 2 	 8 	 74 	 0.012195121951219513
202 	 7 	 10.0 	 3 	 8 	 59 	 0.012195121951219513
203 	 8 	 10.0 	 2 	 8 	 36 	 0.012195121951219513
204 	 7 	 10.0 	 3 	 8 	 1 	 0.006097560975609756
205 	 8 	 10.0 	 4 	 9 	 1 	 0.006097560975609756
206 	 9 	 10.0 	 3 	 10 	 1 	 0.012195121951219513
207 	 8 	 10.0 	 2 	 8 	 1 	 0.018292682926829267
208 	 8 	 10.0 	 2 	 8 	 1 	 0.018292682926829267
209 	 10 	 10.0 	 1 	 10 	 1 	 0.006097560975609756
210 	 9 	 10.0 	 2 	 10 	 1 	 0.012195121951219513
211 	 8 	 10.0 	 3 	 9 	 1 	 0.012195121951219513
212 	 7 	 10.0 	 3 	 8 	 1 	 0.006097560975609756
213 	 9 	 10.0 	 2 	 9 	 2 	 0.012195121951219513
214 	 8 	 10.0 	 2 	 8 	 1 	 0.006097560975609756
215 	 9 	 10.0 	 4 	 10 	 1 	 0.006097560975609756
216 	 9 	 10.0 	 4 	 10 	 3 	 0.006097560975609756
217 	 8 	 10.0 	 3 	 9 	 3 	 0.012195121951219513
218 	 9 	 10.0 	 3 	 9 	 7 	 0.006097560975609756
219 	 8 	 10.0 	 3 	 9 	 20 	 0.006097560975609756
220 	 8 	 10.0 	 4 	 9 	 1 	 0.006097560975609756
221 	 9 	 10.0 	 3 	 10 	 1 	 0.006097560975609756
222 	 8 	 10.0 	 2 	 8 	 2 	 0.018292682926829267
223 	 7 	 10.0 	 3 	 8 	 2 	 0.006097560975609756
224 	 10 	 11.0 	 3 	 11 	 1 	 0.006097560975609756
225 	 11 	 11.0 	 3 	 11 	 1 	 0.012195121951219513
226 	 9 	 11.0 	 3 	 10 	 1 	 0.012195121951219513
227 	 10 	 11.0 	 3 	 11 	 1 	 0.018292682926829267
228 	 8 	 11.0 	 5 	 9 	 1 	 0.018292682926829267
229 	 8 	 11.0 	 5 	 9 	 1 	 0.018292682926829267
230 	 11 	 11.0 	 2 	 11 	 1 	 0.018292682926829267
231 	 7 	 11.0 	 5 	 8 	 1 	 0.018292682926829267
232 	 7 	 11.0 	 4 	 9 	 1 	 0.018292682926829267
233 	 9 	 11.0 	 4 	 9 	 1 	 0.018292682926829267
234 	 8 	 11.0 	 5 	 10 	 1 	 0.012195121951219513
235 	 11 	 11.0 	 1 	 11 	 1 	 0.018292682926829267
236 	 9 	 11.0 	 4 	 10 	 1 	 0.012195121951219513
237 	 10 	 11.0 	 3 	 11 	 1 	 0.0
238 	 10 	 11.0 	 3 	 11 	 1 	 0.006097560975609756
239 	 8 	 11.0 	 5 	 10 	 1 	 0.006097560975609756
240 	 9 	 11.0 	 4 	 11 	 1 	 0.006097560975609756
241 	 10 	 11.0 	 3 	 11 	 1 	 0.006097560975609756
242 	 10 	 11.0 	 4 	 10 	 1 	 0.006097560975609756
243 	 11 	 11.0 	 2 	 11 	 1 	 0.006097560975609756
244 	 9 	 11.0 	 5 	 9 	 1 	 0.006097560975609756
245 	 8 	 11.0 	 6 	 9 	 1 	 0.006097560975609756
246 	 7 	 11.0 	 4 	 9 	 1 	 0.006097560975609756
247 	 10 	 11.0 	 4 	 11 	 1 	 0.006097560975609756
248 	 9 	 11.0 	 2 	 9 	 1 	 0.012195121951219513
249 	 9 	 11.0 	 4 	 10 	 1 	 0.012195121951219513
250 	 10 	 11.0 	 2 	 10 	 1 	 0.012195121951219513
251 	 9 	 11.0 	 4 	 10 	 1 	 0.012195121951219513
252 	 8 	 11.0 	 3 	 9 	 1 	 0.006097560975609756
253 	 10 	 11.0 	 3 	 11 	 1 	 0.012195121951219513
254 	 9 	 11.0 	 4 	 10 	 1 	 0.012195121951219513
255 	 8 	 11.0 	 6 	 9 	 1 	 0.012195121951219513
256 	 10 	 11.0 	 4 	 11 	 1 	 0.012195121951219513
257 	 8 	 11.0 	 4 	 9 	 1 	 0.012195121951219513
258 	 9 	 11.0 	 5 	 10 	 1 	 0.012195121951219513
259 	 10 	 11.0 	 4 	 10 	 1 	 0.012195121951219513
260 	 10 	 11.0 	 3 	 10 	 1 	 0.012195121951219513
261 	 8 	 11.0 	 4 	 9 	 1 	 0.012195121951219513
262 	 8 	 11.0 	 6 	 9 	 1 	 0.012195121951219513
263 	 10 	 11.0 	 4 	 10 	 1 	 0.012195121951219513
264 	 10 	 11.0 	 2 	 11 	 1 	 0.012195121951219513
265 	 7 	 11.0 	 4 	 9 	 1 	 0.006097560975609756
266 	 10 	 11.0 	 4 	 11 	 1 	 0.012195121951219513
267 	 9 	 11.0 	 2 	 9 	 1 	 0.012195121951219513
268 	 8 	 11.0 	 5 	 9 	 1 	 0.006097560975609756
269 	 10 	 11.0 	 4 	 11 	 1 	 0.006097560975609756
270 	 10 	 11.0 	 4 	 11 	 1 	 0.006097560975609756
271 	 11 	 11.0 	 2 	 11 	 1 	 0.012195121951219513
272 	 10 	 11.0 	 3 	 10 	 1 	 0.006097560975609756
273 	 7 	 11.0 	 6 	 9 	 2 	 0.006097560975609756
274 	 10 	 11.0 	 4 	 10 	 1 	 0.006097560975609756
275 	 8 	 11.0 	 5 	 9 	 1 	 0.006097560975609756
276 	 9 	 11.0 	 5 	 10 	 1 	 0.006097560975609756
277 	 9 	 11.0 	 4 	 10 	 1 	 0.006097560975609756
278 	 6 	 11.0 	 5 	 9 	 1 	 0.012195121951219513
279 	 8 	 11.0 	 3 	 9 	 1 	 0.012195121951219513
280 	 8 	 11.0 	 6 	 9 	 1 	 0.006097560975609756
281 	 9 	 11.0 	 5 	 9 	 1 	 0.006097560975609756
282 	 10 	 11.0 	 3 	 10 	 1 	 0.006097560975609756
283 	 6 	 11.0 	 5 	 9 	 1 	 0.012195121951219513
284 	 9 	 11.0 	 4 	 11 	 1 	 0.006097560975609756
285 	 9 	 11.0 	 4 	 10 	 1 	 0.012195121951219513
286 	 8 	 11.0 	 3 	 9 	 1 	 0.012195121951219513
287 	 10 	 11.0 	 3 	 11 	 1 	 0.006097560975609756
288 	 10 	 11.0 	 3 	 10 	 1 	 0.006097560975609756
289 	 9 	 11.0 	 5 	 9 	 1 	 0.012195121951219513
290 	 9 	 11.0 	 5 	 10 	 1 	 0.012195121951219513
291 	 10 	 11.0 	 3 	 11 	 1 	 0.006097560975609756
292 	 9 	 11.0 	 2 	 9 	 1 	 0.018292682926829267
293 	 8 	 11.0 	 4 	 9 	 1 	 0.018292682926829267
294 	 9 	 11.0 	 4 	 9 	 1 	 0.018292682926829267
295 	 9 	 11.0 	 3 	 9 	 1 	 0.012195121951219513
296 	 8 	 11.0 	 4 	 8 	 2 	 0.018292682926829267
297 	 7 	 11.0 	 5 	 8 	 1 	 0.012195121951219513
298 	 9 	 11.0 	 3 	 9 	 1 	 0.012195121951219513
299 	 8 	 11.0 	 4 	 9 	 1 	 0.012195121951219513
300 	 9 	 11.0 	 3 	 9 	 1 	 0.012195121951219513
301 	 9 	 11.0 	 3 	 9 	 1 	 0.012195121951219513
302 	 8 	 11.0 	 3 	 9 	 2 	 0.012195121951219513
303 	 9 	 11.0 	 3 	 9 	 1 	 0.012195121951219513
304 	 8 	 11.0 	 4 	 8 	 1 	 0.012195121951219513
305 	 9 	 11.0 	 3 	 9 	 1 	 0.012195121951219513
306 	 9 	 11.0 	 3 	 9 	 1 	 0.018292682926829267
307 	 9 	 11.0 	 3 	 9 	 1 	 0.012195121951219513
308 	 8 	 11.0 	 3 	 8 	 1 	 0.012195121951219513
309 	 8 	 11.0 	 4 	 9 	 1 	 0.012195121951219513
310 	 8 	 11.0 	 4 	 9 	 1 	 0.012195121951219513
311 	 8 	 11.0 	 4 	 9 	 1 	 0.012195121951219513
312 	 8 	 11.0 	 4 	 8 	 1 	 0.012195121951219513
313 	 8 	 11.0 	 4 	 8 	 1 	 0.012195121951219513
314 	 9 	 11.0 	 3 	 9 	 3 	 0.012195121951219513
315 	 7 	 11.0 	 5 	 8 	 1 	 0.012195121951219513
316 	 8 	 11.0 	 4 	 8 	 1 	 0.012195121951219513
317 	 10 	 11.0 	 3 	 11 	 3 	 0.012195121951219513
318 	 8 	 11.0 	 4 	 8 	 1 	 0.012195121951219513
319 	 8 	 11.0 	 4 	 9 	 1 	 0.012195121951219513
320 	 8 	 11.0 	 4 	 9 	 1 	 0.012195121951219513
321 	 8 	 11.0 	 4 	 8 	 1 	 0.012195121951219513
322 	 8 	 11.0 	 4 	 9 	 1 	 0.012195121951219513
323 	 10 	 11.0 	 3 	 10 	 1 	 0.012195121951219513
324 	 6 	 11.0 	 5 	 9 	 1 	 0.012195121951219513
325 	 9 	 11.0 	 2 	 9 	 1 	 0.012195121951219513
326 	 7 	 11.0 	 4 	 9 	 1 	 0.012195121951219513
